                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.186,                0.80732,                 1.5071,                0.88344,                0.92352,                0.93182,                0.58478,                  1.422,                 0.8433,                 1.5992,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1668,                0.79662,                 1.4964,                0.85672,                 0.8507,                0.92416,                0.57496,                 1.4256,                 1.0135,                 1.5681,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.1737,                0.80086,                 1.4923,                0.93121,                 0.8946,                0.96554,                0.62377,                 1.3386,                0.76165,                 1.4989,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.1605,                0.79228,                 1.4901,                 0.8936,                0.87059,                0.92557,                0.57192,                 1.4116,                0.84032,                 1.5675,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.1472,                0.77019,                 1.4694,                0.95592,                0.94211,                  0.968,                0.61571,                 1.3152,                0.73877,                 1.4713,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1865,                0.78235,                 1.4848,                0.83176,                0.85134,                0.91786,                0.58206,                 1.3819,                 0.8912,                   1.57,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.1191,                 0.7541,                  1.446,                0.91584,                0.92105,                0.95825,                0.62419,                 1.3188,                0.77416,                 1.4895,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.1362,                0.74272,                 1.4559,                0.94998,                0.91166,                0.96617,                0.61308,                 1.3531,                0.77374,                  1.496,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.1513,                 0.7706,                 1.4642,                0.88341,                0.89658,                0.94918,                0.59927,                  1.326,                0.87004,                 1.5005,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.1282,                0.74943,                 1.4456,                 0.7437,                0.80526,                0.89569,                0.56147,                 1.4177,                 1.0967,                 1.5545,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.1236,                0.76162,                 1.4556,                0.87839,                0.93158,                0.94757,                0.61335,                 1.3088,                0.76248,                   1.48,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.1182,                0.75963,                  1.454,                0.91467,                0.93121,                0.97711,                0.60285,                 1.4238,                0.71637,                 1.5842,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.1063,                0.71884,                 1.4336,                 0.9439,                0.91347,                0.97854,                0.62377,                 1.3515,                0.71843,                   1.52,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0909,                0.71237,                 1.4357,                0.95134,                0.91843,                0.97533,                 0.6038,                  1.401,                0.73008,                 1.5555,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.1069,                0.72932,                 1.4277,                0.89169,                0.90575,                0.95966,                0.58902,                 1.3785,                0.77193,                 1.5276,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.1002,                 0.7108,                 1.4088,                0.79401,                0.84623,                0.90062,                0.56199,                 1.3809,                 1.0301,                  1.545,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.1016,                0.70706,                 1.4159,                0.85542,                0.94102,                 0.9606,                0.60609,                 1.4022,                0.74979,                 1.5317,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.0972,                0.71406,                  1.412,                0.92595,                0.89731,                0.95116,                0.60752,                 1.3357,                 0.7858,                  1.506,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.0882,                0.72339,                 1.4224,                0.85615,                0.85726,                0.89998,                0.56025,                 1.3941,                0.98121,                 1.5537,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.0947,                0.72016,                 1.4249,                0.90305,                0.92468,                 0.9661,                0.59282,                 1.4405,                0.73471,                 1.5803,             0.00080883,             0.00080883,             0.00080883
